eco,opening_name,month,actual,forecast,lower_ci,upper_ci,is_forecast,structural_break,model_tier,forecast_quality,model_tier_override,model_name
A08,A08,2024-09,0.5436101959424311,,,,False,False,1,medium,,holt_winters
A08,A08,2024-10,0.5508300395256917,,,,False,False,1,medium,,holt_winters
A08,A08,2024-11,0.5338371116708648,,,,False,False,1,medium,,holt_winters
A08,A08,2024-12,0.5349041416654471,,,,False,False,1,medium,,holt_winters
A08,A08,2025-01,0.5426641210163019,,,,False,False,1,medium,,holt_winters
A08,A08,2025-02,0.5323983667672644,,,,False,False,1,medium,,holt_winters
A08,A08,2025-03,0.5475536896496044,,,,False,False,1,medium,,holt_winters
A08,A08,2025-04,0.536699635606455,,,,False,False,1,medium,,holt_winters
A08,A08,2025-05,0.5539164032314717,,,,False,False,1,medium,,holt_winters
A08,A08,2025-06,0.5385425812115892,,,,False,False,1,medium,,holt_winters
A08,A08,2025-07,0.5348246059989832,,,,False,False,1,medium,,holt_winters
A08,A08,2025-08,0.5476806345921711,,,,False,False,1,medium,,holt_winters
A08,A08,2025-09,0.5403682719546742,,,,False,False,1,medium,,holt_winters
A08,A08,2025-10,0.5479198248273539,,,,False,False,1,medium,,holt_winters
A08,A08,2025-11,0.546969696969697,,,,False,False,1,medium,,holt_winters
A08,A08,2025-12,0.5553235908141962,,,,False,False,1,medium,,holt_winters
A08,A08,2026-01,0.5441957816776687,,,,False,False,1,medium,,holt_winters
A08,A08,2026-02,0.55,,,,False,False,1,medium,,holt_winters
A08,A08,2026-03,0.5430562468889994,,,,False,False,1,medium,,holt_winters
A08,A08,2026-04,0.5375246872942725,,,,False,False,1,medium,,holt_winters
A08,A08,2026-05,,0.543762,0.530204,0.55732,True,False,1,medium,,holt_winters
A08,A08,2026-06,,0.5438,0.530176,0.557424,True,False,1,medium,,holt_winters
A08,A08,2026-07,,0.543839,0.529938,0.557739,True,False,1,medium,,holt_winters
A09,A09,2023-01,0.5369827489006652,,,,False,False,1,high,,holt_winters
